Entity,Code,Year,Coal Consumption - EJ
Africa,,1965,323.49639717966625
Africa,,1966,323.12245192848803
Africa,,1967,330.29184890869834
Africa,,1968,343.5131855519147
Africa,,1969,346.64319888571225
Africa,,1970,360.75718805752507
Africa,,1971,383.0126251587078
Africa,,1972,384.2111106324343
Africa,,1973,408.9106805335994
Africa,,1974,425.6465667594671
Africa,,1975,451.0808644982502
Africa,,1976,481.07454092765545
Africa,,1977,491.6988484698002
Africa,,1978,477.81596515422194
Africa,,1979,507.2474022172611
Africa,,1980,543.5574942859977
Africa,,1981,635.7992920125267
Africa,,1982,701.1764434566644
Africa,,1983,713.2466178427462
Africa,,1984,762.8984820846142
Africa,,1985,787.1665191197756
Africa,,1986,805.3567406857994
Africa,,1987,828.3203949443832
Africa,,1988,890.161516909319
Africa,,1989,835.6215303379313
Africa,,1990,877.8105637604059
Africa,,1991,853.1952510666965
Africa,,1992,858.3014348141459
Africa,,1993,871.6159036864847
Africa,,1994,894.1694460778457
Africa,,1995,921.8035775467943
Africa,,1996,934.5525861711349
Africa,,1997,958.3221658137444
Africa,,1998,936.3080277854286
Africa,,1999,965.481392408621
Africa,,2000,963.274685704121
Africa,,2001,975.5884425306687
Africa,,2002,934.1016747009393
Africa,,2003,1016.7134554752414
Africa,,2004,1118.2908937133493
Africa,,2005,1038.032078175715
Africa,,2006,1052.76685112246
Africa,,2007,1070.1845685663338
Africa,,2008,1179.4848532873416
Africa,,2009,1174.4284838153242
Africa,,2010,1164.1440122757206
Africa,,2011,1144.6343142296466
Africa,,2012,1116.0868384782873
Africa,,2013,1130.6388403966432
Africa,,2014,1184.4630490706422
Africa,,2015,1118.5239988390113
Africa,,2016,1187.1405531881746
Africa,,2017,1182.5502094768942
Africa,,2018,1223.7119941762955
Africa,,2019,1242.3308036507426
Algeria,DZA,1965,0.8141006512800001
Algeria,DZA,1966,0.7908406326720001
Algeria,DZA,1967,0.6047604838080001
Algeria,DZA,1968,0.6396505117200001
Algeria,DZA,1969,0.8141006512800001
Algeria,DZA,1970,0.9652907722320001
Algeria,DZA,1971,0.267490213992
Algeria,DZA,1972,0.23260018608000002
Algeria,DZA,1973,0.267490213992
Algeria,DZA,1974,0.220970176776
Algeria,DZA,1975,0.279120223296
Algeria,DZA,1976,0.5466104372880001
Algeria,DZA,1977,0.709430567544
Algeria,DZA,1978,0.36053028842400003
Algeria,DZA,1979,0.837360669888
Algeria,DZA,1980,0.744320595456
Algeria,DZA,1981,0.52335041868
Algeria,DZA,1982,9.711057768840002
Algeria,DZA,1983,8.66435693148
Algeria,DZA,1984,9.606387685104
Algeria,DZA,1985,10.025068020048002
Algeria,DZA,1986,10.29255823404
Algeria,DZA,1987,12.304549843632001
Algeria,DZA,1988,11.571859257480002
Algeria,DZA,1989,9.780837824664001
Algeria,DZA,1990,7.664176131336001
Algeria,DZA,1991,7.908406326720001
Algeria,DZA,1992,9.397047517632
Algeria,DZA,1993,7.652546122032
Algeria,DZA,1994,7.210605768480001
Algeria,DZA,1995,7.210605768480001
Algeria,DZA,1996,3.3959627167680004
Algeria,DZA,1997,5.954564763648
Algeria,DZA,1998,6.373245098592
Algeria,DZA,1999,6.8268154614480006
Algeria,DZA,2000,5.6405545124400005
Algeria,DZA,2001,6.512805210240001
Algeria,DZA,2002,8.54805683844
Algeria,DZA,2003,7.047785638224
Algeria,DZA,2004,8.408496726792
Algeria,DZA,2005,6.908225526576001
Algeria,DZA,2006,10.257668206128002
Algeria,DZA,2007,8.803917043128001
Algeria,DZA,2008,8.803917043128001
Algeria,DZA,2009,5.652184521744001
Algeria,DZA,2010,3.6053028842400003
Algeria,DZA,2011,3.1982525586
Algeria,DZA,2012,3.3959627167680004
Algeria,DZA,2013,1.837541470032
Algeria,DZA,2014,2.081771665416
Algeria,DZA,2015,1.5467912374320003
Algeria,DZA,2016,0.569870455896
Algeria,DZA,2017,2.116661693328
Algeria,DZA,2018,5.815004652000001
Algeria,DZA,2019,5.815004652000001
Argentina,ARG,1965,8.455055950557572
Argentina,ARG,1966,6.971823876314695
Argentina,ARG,1967,7.840403261153703
Argentina,ARG,1968,7.619041370723693
Argentina,ARG,1969,9.122177294050246
Argentina,ARG,1970,11.722607758084704
Argentina,ARG,1971,10.277550250688401
Argentina,ARG,1972,8.651301819865864
Argentina,ARG,1973,9.496529576112083
Argentina,ARG,1974,11.825931323095102
Argentina,ARG,1975,11.5109494999884
Argentina,ARG,1976,11.642594523484307
Argentina,ARG,1977,11.008511887933077
Argentina,ARG,1978,13.41920609491526
Argentina,ARG,1979,12.50168383007737
Argentina,ARG,1980,11.144598541906563
Argentina,ARG,1981,10.56047565526335
Argentina,ARG,1982,10.666084682699642
Argentina,ARG,1983,9.679970969260497
Argentina,ARG,1984,7.185229441752011
Argentina,ARG,1985,10.599614241413471
Argentina,ARG,1986,12.109359017767577
